Event Title,Ticket Master Average Ticket Prices
Bad Bunny: World's Hottest Tour ,537.5
Def Leppard/Mötley Crüe/Poison/Joan Jett and the Blackhearts,2149.5
Def Leppard/Mötley Crüe/Poison/Joan Jett and the Blackhearts,412.5
2022 CMA Fest,350.5
TWICE 4TH WORLD TOUR  III  IN NORTH AMERICA ENCORE,129.0
The Weeknd - After Hours Til Dawn Tour,212.0
Beethoven: Missa Solemnis,230.0
Mötley Crüe/Def Leppard/Poison/Joan Jett and the Blackhearts,409.5
Olivia Rodrigo - Sour Tour,74.0
Elton John: Farewell Yellow Brick Road The Final Tour,152.0
Pearl Jam,103.0
Elton John: Farewell Yellow Brick Road The Final Tour,1023.5
Red Hot Chili Peppers 2022 World Tour,170.5
Elton John: Farewell Yellow Brick Road,155.0
Elton John: Farewell Yellow Brick Road The Final Tour,147.0
Elton John: Farewell Yellow Brick Road The Final Tour,152.0
Morgan Wallen: The Dangerous Tour,164.0
Red Hot Chili Peppers 2022 World Tour,147.0
Elton John: Farewell Yellow Brick Road The Final Tour,147.5
Luke Combs Stadium Tour,70.0
Mötley Crüe/Def Leppard/Poison/Joan Jett and the Blackhearts,399.5
Bad Bunny: World's Hottest Tour ,560.0
Justin Bieber,140.0
Kenny Chesney: Here and Now Tour,246.0
Elton John: Farewell Yellow Brick Road The Final Tour,144.5
Elton John: Farewell Yellow Brick Road,155.0
Justin Bieber,812.0
Kenny Chesney: Here and Now Tour,256.5
Justin Bieber,129.0
Elton John: Farewell Yellow Brick Road The Final Tour,152.0
The Lumineers - BRIGHTSIDE World Tour,99.0
Kenny Chesney: Here and Now Tour,257.5
Pearl Jam,103.0
Elton John: Farewell Yellow Brick Road,156.0
Mötley Crüe/Def Leppard/Poison/Joan Jett and the Blackhearts,393.5
Justin Bieber,134.0
Red Hot Chili Peppers 2022 World Tour,170.0
Kenny Chesney: Here and Now Tour,166.0
2022 MONSTA X No Limit US Tour,127.0
Phish,107.5
Billy Joel - In Concert,107.0
Billy Joel,109.0
Kenny Chesney: Here and Now Tour,237.5
Rammstein - North America Stadium Tour,99.0
Foo Fighters - LIVE IN THE USA,82.0
Elton John: Farewell Yellow Brick Road,143.5
The Weeknd - After Hours Til Dawn Tour,172.5
Garth Brooks,91.0
Mean Price,256.26
